time_s,x,y,vx,vy,ax,ay
-50,101.04400191113236,176.3904987905085,31.721289026185516,66.89170581602187,-0.1320290706571754,-0.58738251827981
-49,132.76529093731787,243.28220460653037,31.58925995552834,66.30432329774206,-0.19804360598575954,-0.8810737774197079
-48,164.22252182218904,308.9991453859926,31.325201814213997,65.12955826118245,-0.26405814131433303,-1.1747650365595916
-47,195.41569456574587,373.5413211288953,31.061143672899675,63.954793224622875,-0.2640581413143295,-1.1747650365595987
-46,226.3448091679884,436.90873183523837,30.79708553158534,62.780028188063255,-0.26405814131432237,-1.17476503655962
-45,257.00986562891654,499.1013775050218,30.53302739027103,61.605263151503635,-0.26405814131388183,-1.17476503655881
-44,287.41086394853045,560.1192581382456,30.268969248957575,60.430498114945635,-0.3920238287116291,-1.390107563384717
-43,317.5478041268317,619.9623737349131,29.748979732847772,58.8250480247342,-0.6465186358969817,-1.7387491520007643
-42,346.908823414226,677.769354187714,28.97593197716361,56.95299981094411,-0.5845638251878853,-1.5617128413172452
-41,375.4996680811589,733.8683733568013,28.579852082472,55.70162234209971,-0.029848403563946135,-0.7060442518270804
-40,404.06852757917,789.1725988719135,28.91623517003572,55.540911307289946,0.36162450719263006,-0.06702043737556096
-39,433.33213842123035,844.9501959713812,29.30310109685726,55.56758146734859,0.24981848340704005,-0.3192651022052928
-38,462.6747297728845,900.3077618066106,29.4158721368498,54.90238110287936,0.25618168109934913,-0.6386727348865122
-37,492.16388269492995,954.7549581771399,29.81546445905596,54.290235997575564,0.7660678237144936,-0.6135861143420129
-36,522.3056586909964,1008.8882338017618,30.948007784278786,53.675208874195334,0.8235630479157265,-1.0246673673499913
-35,554.0598982634875,1062.1053759255306,31.462590554887413,52.24090126287558,-0.28566751165337223,-1.679591742871395
-34,585.2308398007713,1113.370036327513,30.376672760972042,50.316025388452545,-1.1042315606013915,-1.9163490637392897
-33,614.8132437854316,1162.7374267024356,29.25412743368463,48.408203135397,-0.4858219871145195,-1.9599743392856794
-32,643.7390946681405,1210.186442598307,29.405028786743003,46.396076709881186,0.3759948460093483,-1.9844659617009484
-31,673.6233013589176,1255.529580122198,30.006117125703327,44.439271211995106,0.2125579237749946,-0.9489489972594356
-30,703.7513289195472,1299.0649850222972,29.830144634292992,44.498178715362315,-0.08504469248970281,0.5283357645520823
-29,733.2835906275036,1344.5259375529226,29.83602774072392,45.49594274109927,-0.10903901530886628,0.045282823714785536
-28,763.423384400995,1390.0568705044957,29.61206660367526,44.588744362791886,-0.3486499949850099,-1.100208721649608
-27,792.5077238348541,1433.7034262785064,29.1387277507539,43.295525297800054,-0.10211862373094505,-0.8306549049378873
-26,821.7008399025028,1476.6479211000958,29.40782935621337,42.92743455291611,0.4256522940677314,-0.23568266442339336
-25,851.3233825472809,1519.5582953843386,29.990032338889364,42.82415996895327,0.46195283484522065,-0.04963713798531444
-24,881.6809045802815,1562.2962410380023,30.33173502590381,42.82816027694548,0.17431134627855727,-0.14823275738120856
-23,911.9868525990885,1605.2146159382296,30.33865503144648,42.52769445419085,0.2911510292745163,-1.2695678489010902
-22,942.3582146431745,1647.351629946384,30.914037084452843,40.2890245791433,0.4783063286798779,-2.4756260471300493
-21,973.8149267679942,1685.7926650965162,31.295267688806234,37.57644235993075,0.007903495096286406,-1.7500156160248252
-20,1004.948750020787,1722.5045146662455,30.929844074645416,36.78899334709365,-0.13902844380783108,-0.0015630564148523263
-19,1035.674614917285,1759.3706517907035,31.017210801190572,37.57331624710105,0.4376266557870281,0.8885303129663384
-18,1066.9831716231681,1797.6511471604476,31.805097386219472,38.56605397302633,0.4327335657792446,0.7202082114418431
-17,1099.284809689724,1836.5027597367562,31.88267793274906,39.01373266998473,-0.6685959881278905,-0.11820911806489676
-16,1130.7485274886662,1875.678612500417,30.46790540996369,38.329635736896535,-1.3310400655558965,-1.784659779263734
-15,1160.2206205096513,1913.1620312105492,29.22059780163727,35.444413111457266,-0.9089070202892344,-2.6983509173597895
-14,1189.1897230919408,1946.5674387233316,28.650091369385223,32.932933902176956,-0.5026630814010673,-1.7795525476640819
-13,1217.5208032484218,1979.0278990149031,28.215271638835134,31.885308016129102,-0.16344323471912503,-0.4457855589391784
-12,1245.620266369611,2010.3380547555898,28.323204899946973,32.0413627842986,-0.11060076156508103,-0.15259259105175715
-11,1274.1672130483157,2043.1106245835003,27.99407011570497,31.580122834025588,-0.7105195425809256,-1.2959063801027924
-10,1301.608406601021,2073.498300423641,26.90216581478512,29.449550024093014,-0.7142654901192032,-1.9419895207817035
-9,1327.971544677886,2102.0097246316864,26.565539135466565,27.69614379246218,0.5493413466027164,-1.8549181337072014
-8,1354.7394848719541,2128.8905880085654,28.000848507990554,25.73971375667861,1.6061757642464158,-1.4073592945239852
-7,1383.973241693867,2153.4891521450436,29.777890663959397,24.88142520341421,1.358588487873078,-0.49532578317223397
-6,1414.295266199873,2178.653438415394,30.71802548373671,24.749062190334143,0.8660683876175881,-0.48140558655927634
-5,1445.4092926613405,2202.987276525712,31.510027439194573,23.918614030295657,0.7920019554559303,-0.8304481600416693
-4,1477.315321078262,2226.490666475985,32.30202939464857,23.088165870250805,0.7920019554539977,-0.8304481600448526
-3,1510.0133514506376,2249.1636082662135,33.09403135010257,22.257717710205952,0.7920019554539408,-0.8304481600447389
