time_s,x,y,vx,vy
-60,-563.5469906621739,479.07106526022824,38.692916421028585,26.728642657021247
-59,-524.7740898001341,505.86083494588377,38.859229364420074,26.86292363428498
-58,-485.8312157320878,532.8130794186613,39.017490911549146,27.045705281138407
-57,-446.76821436434693,559.9466816075034,39.08843329674482,27.211795226020204
-56,-407.69872216282556,587.2147228374021,39.02625660925842,27.312044071003054
-55,-368.7666457310558,614.540238769106,38.8112461660949,27.3206999747758
-54,-330.12509071243113,641.797747928467,38.44965307754518,27.1542313030884
-53,-291.89948803325603,668.7665544913394,37.9916146171236,26.741321979570827
-52,-254.16014278560002,695.223801849979,37.47873223445376,26.158642543164532
-51,-216.96882850411964,721.0461410557658,36.88543503247055,25.46286754105009
-50,-180.41018022918956,746.090062229635,36.22941530489541,24.588668431602812
-49,-144.54070633084729,770.1922507877316,35.4812702677649,23.620787928435906
-48,-109.49870153333923,793.326263950491,34.579939711596005,22.636785017221627
-47,-75.41910187184749,815.452357335933,33.56378426285048,21.612391647281793
-46,-42.39128058585587,836.5473634556793,32.48718607945216,20.576946909215863
-45,-10.443296342199254,856.6063285505779,31.4148880082856,19.54173435978934
-44,20.460484288225526,875.6301436878248,30.40855650964966,18.50445634806327
-43,50.42099280581084,893.6316442610323,29.543753397146027,17.51638737932064
-42,79.61042701027243,910.7076181767496,28.866258067906926,16.662417601428825
-41,108.21798150711533,927.0170751706892,28.382180435139787,15.990234943934823
-40,136.434891397282,942.7517725788873,28.078413352562688,15.509105829244913
-39,164.41840816503648,958.0848568842379,27.905446128372894,15.176686879731584
-38,192.2744768227691,973.1657224879906,27.81855841040697,15.025996379138483
-37,220.09413768526468,988.1576214740466,27.84750879068384,14.93762137314047
-36,248.0166408600046,1003.016860601074,28.01789853856424,14.776932467549939
-35,276.1727604196409,1017.7027344157824,28.31676525818795,14.589987581867469
-34,304.69249475844964,1032.1743004653817,28.742602124019083,14.335436797903414
-33,333.69095643745896,1046.3359938137964,29.267414299189966,13.968043420560786
-32,363.2536447231428,1060.0686531675346,29.871190573300616,13.475447626312075
-31,393.4556160200789,1073.2344679160049,30.541802155467263,12.82558838081659
-30,424.3595108138939,1085.6721035961239,31.27919907708356,12.032550136189666
-29,456.04120349768993,1097.272023920379,32.098163969031546,11.15687908754732
-28,488.5746103727058,1107.953606791166,32.97344372322593,10.18444309874749
-27,522.0056493243512,1117.66816212253,33.901398618048496,9.29376312391572
-26,556.4127799677233,1126.6408816016565,34.93547058963227,8.702328837060815
-25,591.9108064528812,1135.1666161601058,36.072190409011824,8.392283640567733
-24,628.5819678610987,1143.4994332552703,37.28333145444639,8.304191561509514
-23,666.5074900734575,1151.846429508358,38.58453463493131,8.430390158150471
-22,705.781312086922,1160.4391727125985,39.97656268329821,8.79346617787294
-21,746.4800672168572,1169.4908730483112,41.42694606207517,9.329075750217276
-20,788.6486635429317,1179.1341482343016,42.91770743643026,9.975157386366986
-19,832.3173373298978,1189.4672468862118,44.414034531325626,10.699416218016541
-18,877.4646483048184,1200.5472336777134,45.874108723927236,11.466434071801903
-17,924.0513522461443,1212.4093071080285,47.291575321704975,12.261028160225555
-16,972.028907961665,1225.0702268063112,48.652368959792796,13.058432673088989
-15,1021.3116484541026,1238.484305086603,49.87983746299872,13.730235083141615
-14,1071.7242230280003,1252.4592883428218,50.914226387218456,14.187811603876252
-13,1123.0772671834707,1266.8033287117971,51.76011317623187,14.475589376935922
-12,1175.17802117043,1281.355060736358,52.40671533514275,14.597148068988641
-11,1227.8144697467103,1295.940989651009,52.82463317291539,14.548801164745232
-10,1280.7456437320286,1310.4075182729111,52.997619657990846,14.365019881690058
-9,1333.7421639633958,1324.63529688397,52.96797084517702,14.074041007377941
-8,1386.6403906040975,1338.5377944681197,52.8147375775075,13.729644674423652
-7,1439.3322046391356,1352.0804430313765,52.54320087201265,13.342818737146649
-6,1491.7136096315521,1365.239047024488,52.23211601680611,13.002838046094546
-5,1543.8279822898667,1378.143859615234,52.01566801295595,12.836078830047512
-4,1595.7785819406618,1390.9581312579792,51.90012885869815,12.810099334188624
-3,1647.65464720671,1403.7932746487645,51.86381130278115,12.871768933789419
-2,1699.5204466827847,1416.7118416525254,51.87022015654655,12.963956114292964
-1,1751.3899055320062,1429.7069257092446,51.86108304692157,13.013359790479225
0,1803.2403283807446,1442.7239011831196,51.84509274964671,13.01878331557303
